40.007041,-105.261886,4260.50,35662,6.579615
40.007022,-105.261878,4324.47,36662,4.974498
40.007003,-105.261840,4339.24,37663,8.878479
40.006988,-105.261810,4368.11,38664,7.095679
40.006977,-105.261779,4405.51,39665,6.644674
40.006977,-105.261741,4439.30,40665,7.513195
40.006980,-105.261711,4466.86,41663,6.091190
40.006980,-105.261672,4481.30,42664,7.505675
40.006977,-105.261634,4489.83,43668,7.535200
40.006977,-105.261627,4515.75,44668,1.502639
40.006973,-105.261604,4533.14,45674,4.579292
40.006965,-105.261596,4555.77,46667,2.438653
40.006961,-105.261589,4578.74,47671,1.770379
40.006958,-105.261596,4603.35,48674,1.772148
40.006954,-105.261596,4611.55,49675,0.947571
40.006950,-105.261611,4628.61,50675,3.151696
40.006946,-105.261634,4649.28,51677,4.593015
40.006942,-105.261650,4669.62,52676,3.154858
40.006935,-105.261657,4682.74,53677,2.419124
40.006927,-105.261665,4695.21,54680,2.414291
40.006919,-105.261657,4705.38,55680,2.419124
40.006900,-105.261627,4716.86,56682,7.643931
40.006877,-105.261596,4725.07,57681,8.289643
40.006839,-105.261581,4735.56,58678,9.988992
40.006790,-105.261573,4743.77,59678,12.421789
40.006549,-105.261482,4919.95,60683,62.163871
40.006401,-105.261451,4996.39,61683,37.513961
40.006225,-105.261405,5084.97,62683,44.596458
40.006095,-105.261398,5128.94,63686,32.220066
40.005970,-105.261428,5190.94,64684,31.967861
40.005859,-105.261451,5234.91,65684,27.901195
40.005771,-105.261466,5243.77,66688,21.955627
40.005680,-105.261489,5249.02,67689,23.205633
40.005592,-105.261520,5254.92,68686,22.718160
40.005508,-105.261566,5260.17,69690,22.660173
40.005428,-105.261619,5270.01,70689,22.543216
40.005348,-105.261688,5278.87,71690,24.044347
40.005275,-105.261764,5290.68,72689,23.501865
40.005207,-105.261848,5302.82,73693,23.680965
40.005146,-105.261924,5314.30,74691,21.410514
40.005092,-105.262008,5320.87,75689,21.210878
40.005039,-105.262084,5324.47,76690,20.041948
40.004985,-105.262161,5327.76,77693,19.981941
40.004928,-105.262245,5332.35,78700,21.666479
40.004875,-105.262321,5336.94,79692,20.224145
40.004821,-105.262405,5339.24,80691,21.232154
40.004768,-105.262481,5340.55,81694,20.001901
40.004707,-105.262573,5342.52,82698,23.483901
40.004646,-105.262657,5345.47,83700,22.404844
40.004581,-105.262756,5348.75,84697,25.390981
40.004516,-105.262847,5350.39,85697,24.176446
40.004451,-105.262954,5351.05,86697,26.515739
40.004383,-105.263053,5352.36,87698,25.929227
40.004318,-105.263153,5354.33,88699,25.314731
40.004253,-105.263252,5356.63,89707,25.138586
40.004188,-105.263359,5357.61,90701,26.676120
40.004123,-105.263458,5358.92,91701,25.340097
40.004066,-105.263565,5360.56,92705,25.277866
40.004016,-105.263671,5363.19,93708,24.293315
40.003974,-105.263778,5365.81,94703,23.605148
40.003944,-105.263893,5367.13,95705,23.737478
40.003921,-105.263999,5368.44,96702,21.838417
40.003906,-105.264114,5369.75,97709,22.675546
40.003894,-105.264221,5371.06,98710,21.207660
40.003890,-105.264335,5372.38,99708,22.559576
40.003887,-105.264450,5372.05,100715,22.402444
